Time;Horizontal Acceleration;Vertical Acceleration;Horizontal Velocity;Vertical Velocity;Horizontal Position;Vertical Position;Power;Thrust;Drag;Delta;Alpha;MissionEnergy
111.399;0;0;15;0;1061.53;100;1684.78;84.7278;0.545989;0.00644408;0;190374;
112.403;0;0;15;0;1076.58;100;1684.78;84.7278;0.545989;0.00644408;0;192065;
113.406;0;0;15;0;1091.64;100;1684.78;84.7278;0.545989;0.00644408;0;193756;
114.41;0;0;15;0;1106.69;100;1684.78;84.7278;0.545989;0.00644408;0;195446;
115.413;0;0;15;0;1121.74;100;1684.78;84.7278;0.545989;0.00644408;0;197137;
116.417;0;0;15;0;1136.8;100;1684.78;84.7278;0.545989;0.00644408;0;198828;
117.421;0;0;15;0;1151.85;100;1684.78;84.7278;0.545989;0.00644408;0;200519;
118.424;0;0;15;0;1166.91;100;1684.78;84.7278;0.545989;0.00644408;0;202210;
119.428;0;0;15;0;1181.96;100;1684.78;84.7278;0.545989;0.00644408;0;203901;
120.431;0;0;15;0;1197.01;100;1684.78;84.7278;0.545989;0.00644408;0;205591;
121.435;0;0;15;0;1212.07;100;1684.78;84.7278;0.545989;0.00644408;0;207282;
122.439;0;0;15;0;1227.12;100;1684.78;84.7278;0.545989;0.00644408;0;208973;
123.442;0;0;15;0;1242.18;100;1684.78;84.7278;0.545989;0.00644408;0;210664;
124.446;0;0;15;0;1257.23;100;1684.78;84.7278;0.545989;0.00644408;0;212355;
125.449;0;0;15;0;1272.28;100;1684.78;84.7278;0.545989;0.00644408;0;214046;
126.453;0;0;15;0;1287.34;100;1684.78;84.7278;0.545989;0.00644408;0;215736;
127.457;0;0;15;0;1302.39;100;1684.78;84.7278;0.545989;0.00644408;0;217427;
128.46;-1;0;13.9964;0;1316.94;100;1668.72;85.1182;0.475515;0.0960282;0;219102;
129.464;-1;0;12.9928;0;1330.48;100;1660.44;85.1246;0.409768;0.096797;0;220768;
130.467;-1;0;11.9892;0;1343.02;100;1653.46;85.1305;0.348911;0.0975085;0;222428;
131.471;-1;0;10.9856;0;1354.55;100;1646.94;85.1359;0.292943;0.0981628;0;224081;
132.475;-1;0;9.98202;0;1365.07;100;1640.89;85.1409;0.241864;0.0987598;0;225727;
133.478;-1;0;8.97843;0;1374.58;100;1635.81;85.1455;0.195675;0.0992996;0;227369;
134.482;-1;0;7.97483;0;1383.09;100;1630.38;85.1496;0.154376;0.0997823;0;229005;
135.485;-1;0;6.97124;0;1390.59;100;1626.4;85.1533;0.117966;0.100208;0;230638;
136.489;-1;0;5.96764;0;1397.08;100;1622.8;85.1564;0.0864456;0.100576;0;232266;
137.493;-1;0;4.96404;0;1402.57;100;1620.36;85.1591;0.0598149;0.100887;0;233892;
138.496;0;-1;5;-1.0036;1407.59;99.4964;1627.77;76.077;0.0627614;0.00080884;-0.198087;235526;
139.5;-0.135135;0;4.86438;-1;1412.54;98.4928;1680.64;84.7213;0.0595089;0.0130884;-0.202751;237213;
140.503;-0.135135;0;4.72876;-1;1417.35;97.4892;1680.4;84.7217;0.0563577;0.0131255;-0.208402;238899;
141.507;-0.135135;0;4.59314;-1;1422.03;96.4856;1681.24;84.7221;0.053295;0.0131616;-0.214371;240587;
142.511;-0.135135;0;4.45752;-1;1426.57;95.482;1681.03;84.7224;0.0503211;0.0131967;-0.220686;242274;
143.514;-0.135135;0;4.32189;-1;1430.98;94.4784;1680.82;84.7228;0.0474359;0.0132307;-0.227379;243960;
144.518;-0.135135;0;4.18627;-1;1435.25;93.4748;1680.63;84.7232;0.0446394;0.0132636;-0.234482;245647;
145.521;-0.135135;0;4.05065;-1;1439.38;92.4712;1680.45;84.7235;0.0419317;0.0132956;-0.242034;247334;
146.525;-0.135135;0;3.91503;-1;1443.38;91.4676;1680.28;84.7239;0.0393128;0.0133264;-0.250079;249020;
147.529;-0.135135;0;3.77941;-1;1447.24;90.464;1680.13;84.7242;0.0367827;0.0133562;-0.258664;250706;
148.532;-0.135135;0;3.64379;-1;1450.96;89.4604;1679.99;84.7246;0.0343414;0.013385;-0.267845;252392;
149.536;-0.135135;0;3.50817;-1;1454.55;88.4568;1679.86;84.7249;0.031989;0.0134127;-0.277684;254078;
150.539;-0.135135;0;3.37255;-1;1458;87.4533;1679.75;84.7253;0.0297254;0.0134394;-0.288253;255764;
151.543;-0.135135;0;3.23693;-1;1461.32;86.4497;1679.65;84.7256;0.0275508;0.013465;-0.299634;257450;
152.547;-0.135135;0;3.10131;-1;1464.5;85.4461;1679.56;84.726;0.025465;0.0134896;-0.311919;259135;
153.55;-0.135135;0;2.96568;-1;1467.55;84.4425;1679.48;84.7263;0.0234681;0.0135131;-0.325218;260821;
154.554;-0.135135;0;2.83006;-1;1470.45;83.4389;1679.42;84.7267;0.0215602;0.0135356;-0.339655;262506;
155.557;-0.135135;0;2.69444;-1;1473.23;82.4353;1679.37;84.727;0.0197412;0.0135571;-0.355377;264191;
156.561;-0.135135;0;2.55882;-1;1475.86;81.4317;1679.33;84.7273;0.0180112;0.0135775;-0.372555;265877;
157.565;-0.135135;0;2.4232;-1;1478.36;80.4281;1679.3;84.7277;0.0163701;0.0135968;-0.391387;267562;
158.568;-0.135135;0;2.28758;-1;1480.73;79.4245;1679.28;84.728;0.0148179;0.0136151;-0.412111;269248;
159.572;-0.135135;0;2.15196;-1;1482.95;78.4209;1679.27;84.7283;0.0133546;0.0136324;-0.435005;270933;
160.575;-0.135135;0;2.01634;-1;1485.05;77.4173;1679.28;84.7286;0.0119802;0.0136486;-0.460401;272618;
161.579;-0.135135;0;1.88072;-1;1487;76.4137;1679.29;84.729;0.0106947;0.0136638;-0.488694;274303;
162.582;-0.135135;0;1.7451;-1;1488.82;75.4101;1681.42;84.7293;0.00949792;0.0136779;-0.520356;275991;
163.586;-0.135135;0;1.60947;-1;1490.5;74.4065;1690.07;84.7296;0.00838981;0.013691;-0.555949;277687;
164.59;-0.135135;0;1.47385;-1;1492.05;73.4029;1698.76;84.7299;0.00737024;0.0137031;-0.596146;279392;
165.593;-0.135135;0;1.33823;-1;1493.46;72.3993;1703.13;84.7302;0.00643899;0.0137141;-0.641742;281101;
166.597;-0.135135;0;1.20261;-1;1494.74;71.3957;1703.2;84.7305;0.0055958;0.0137242;-0.693669;282811;
167.6;-0.135135;0;1.06699;-1;1495.88;70.3921;1703.29;84.7308;0.00484024;0.0137332;-0.753;284520;
168.604;-0.135135;0;0.931369;-1;1496.88;69.3885;1703.38;84.731;0.00417177;0.0137413;-0.820918;286229;
169.608;-0.135135;0;0.795748;-1;1497.75;68.3849;1703.48;84.7313;0.00358956;0.0137485;-0.898653;287939;
170.611;-0.135135;0;0.660127;-1;1498.48;67.3813;1703.6;84.7315;0.00309248;0.0137547;-0.987335;289649;
